time,n_maps,n_reduces,n_shuffles
67.36800,52,0,64
67.43100,53,0,64
67.49600,54,0,64
67.56300,55,0,64
67.62600,56,0,64
67.69100,57,0,64
67.75600,58,0,64
67.82100,59,0,64
67.88600,60,0,64
67.95200,61,0,64
68.01700,62,0,64
68.08200,63,0,64
68.14700,64,0,64
69.89400,64,0,64
69.94300,63,0,64
69.99200,62,0,64
70.04100,61,0,64
70.09000,60,0,64
70.13800,59,0,64
70.17300,58,0,64
70.22100,57,0,64
70.27000,56,0,64
70.33400,55,0,64
70.36800,54,0,64
70.41700,53,0,64
70.46500,52,0,64
70.52900,51,0,64
70.56300,50,0,64
70.61200,49,0,64
70.67800,48,0,64
70.74200,47,0,64
70.80700,46,0,64
70.87400,45,0,64
70.93700,44,0,64
71.00200,43,0,64
71.06900,42,0,64
71.13200,41,0,64
71.19700,40,0,64
71.26200,39,0,64
71.32700,38,0,64
71.39200,37,0,64
71.45700,36,0,64
71.52200,35,0,64
71.58700,34,0,64
71.65200,33,0,64
72.91100,32,0,64
72.95900,31,0,64
73.00800,30,0,64
73.05700,29,0,64
73.10600,28,0,64
73.15500,27,0,64
73.18900,26,0,64
73.23800,25,0,64
73.28600,24,0,64
73.35000,23,0,64
73.38400,22,0,64
73.43300,21,0,64
73.48200,20,0,64
73.54500,19,0,64
73.57900,18,0,64
73.62800,17,0,64
73.69500,16,0,64
73.75800,15,0,64
73.82300,14,0,64
73.89000,13,0,64
73.95300,12,0,64
74.01800,11,0,64
74.08500,10,0,64
74.14800,9,0,64
74.21300,8,0,64
74.27800,7,0,64
74.34300,6,0,64
74.40900,5,0,64
74.47400,4,0,64
74.53900,3,0,64
74.60400,2,0,64
74.66900,1,0,64
78.91400,0,1,64
78.94400,0,2,63
79.04500,0,3,62
79.08500,0,4,61
79.31900,0,5,60
79.35300,0,6,59
79.38700,0,7,58
79.44100,0,8,57
79.49400,0,9,56
79.53500,0,10,55
79.77300,0,11,54
79.79300,0,12,53
79.81800,0,13,52
79.84900,0,14,51
79.97100,0,15,50
80.72300,0,16,49
80.91600,0,17,48
81.03900,0,18,47
81.08300,0,19,46
81.13000,0,20,45
81.15600,0,21,44
81.19300,0,22,43
81.27400,0,23,42
81.30800,0,24,41
81.35600,0,25,40
81.40000,0,26,39
81.43400,0,27,38
81.51900,0,28,37
81.55900,0,29,36
81.58500,0,30,35
81.59000,0,31,34
81.72700,0,32,33
81.78400,0,33,32
81.79600,0,34,31
81.83400,0,35,30
81.89300,0,36,29
81.93300,0,37,28
81.94800,0,38,27
81.97700,0,39,26
82.00500,0,40,25
82.01000,0,41,24
82.03700,0,42,23
82.09600,0,43,22
82.11400,0,44,21
82.16000,0,45,20
82.16300,0,46,19
82.16400,0,47,18
82.19300,0,48,17
82.20000,0,49,16
82.23900,0,50,15
82.43100,0,51,14
82.52300,0,52,13
82.54100,0,53,12
82.57000,0,54,11
82.57900,0,55,10
82.60700,0,56,9
82.67700,0,57,8
82.76500,0,58,7
82.77300,0,59,6
82.97100,0,60,5
83.00300,0,61,4
83.03600,0,62,3
83.07400,0,63,2
83.10700,0,64,1
130.85400,0,64,0
130.87700,0,63,0
130.98400,0,62,0
131.01700,0,61,0
131.25200,0,60,0
131.28600,0,59,0
131.32000,0,58,0
131.37400,0,57,0
131.43900,0,56,0
131.46700,0,55,0
131.70600,0,54,0
131.72600,0,53,0
131.75100,0,52,0
131.78200,0,51,0
131.90300,0,50,0
132.65600,0,49,0
132.84900,0,48,0
132.97200,0,47,0
133.01500,0,46,0
133.06300,0,45,0
133.09500,0,44,0
133.13800,0,43,0
133.20700,0,42,0
133.24100,0,41,0
133.28900,0,40,0
133.33400,0,39,0
133.38200,0,38,0
133.45200,0,37,0
133.49200,0,36,0
133.51700,0,35,0
133.53400,0,34,0
133.67500,0,33,0
133.71700,0,32,0
133.74900,0,31,0
133.76700,0,30,0
133.82500,0,29,0
133.87000,0,28,0
133.88600,0,27,0
133.91000,0,26,0
133.94200,0,25,0
133.95800,0,24,0
133.97500,0,23,0
134.02800,0,22,0
134.04700,0,21,0
134.09200,0,20,0
134.10900,0,19,0
134.12500,0,18,0
134.15800,0,17,0
134.17400,0,16,0
134.19000,0,15,0
134.36400,0,14,0
134.45600,0,13,0
134.47300,0,12,0
134.50300,0,11,0
134.53600,0,10,0
134.55200,0,9,0
134.60900,0,8,0
134.69800,0,7,0
134.71400,0,6,0
134.90300,0,5,0
134.93600,0,4,0
134.96800,0,3,0
135.00700,0,2,0
135.04000,0,1,0
