task_id,mrsg_phase,worker_id,time,action,shuffle_end
0_139_0,MRSG_MAP,11,12.014,END,0.000
0_130_0,MRSG_MAP,22,12.017,START,
0_130_0,MRSG_MAP,22,12.020,END,0.000
0_134_0,MRSG_MAP,26,12.022,START,
0_134_0,MRSG_MAP,26,12.025,END,0.000
0_123_0,MRSG_MAP,27,12.027,START,
0_123_0,MRSG_MAP,27,12.030,END,0.000
0_124_0,MRSG_MAP,28,12.031,START,
0_124_0,MRSG_MAP,28,12.034,END,0.000
0_137_0,MRSG_MAP,29,12.038,START,
0_137_0,MRSG_MAP,29,12.040,END,0.000
0_138_0,MRSG_MAP,30,12.042,START,
0_138_0,MRSG_MAP,30,12.044,END,0.000
0_127_0,MRSG_MAP,31,12.048,START,
0_127_0,MRSG_MAP,31,12.051,END,0.000
0_141_0,MRSG_MAP,1,12.052,START,
0_141_0,MRSG_MAP,1,12.055,END,0.000
0_142_0,MRSG_MAP,2,12.057,START,
0_142_0,MRSG_MAP,2,12.060,END,0.000
0_131_0,MRSG_MAP,3,12.062,START,
0_131_0,MRSG_MAP,3,12.065,END,0.000
0_132_0,MRSG_MAP,4,12.068,START,
0_132_0,MRSG_MAP,4,12.070,END,0.000
0_145_0,MRSG_MAP,5,12.073,START,
0_145_0,MRSG_MAP,5,12.075,END,0.000
0_146_0,MRSG_MAP,6,12.078,START,
0_146_0,MRSG_MAP,6,12.081,END,0.000
0_135_0,MRSG_MAP,7,12.083,START,
0_135_0,MRSG_MAP,7,12.086,END,0.000
0_136_0,MRSG_MAP,8,12.088,START,
0_136_0,MRSG_MAP,8,12.091,END,0.000
0_149_0,MRSG_MAP,9,12.094,START,
0_149_0,MRSG_MAP,9,12.096,END,0.000
0_150_0,MRSG_MAP,10,12.099,START,
0_150_0,MRSG_MAP,10,12.101,END,0.000
0_152_0,MRSG_MAP,12,12.104,START,
0_152_0,MRSG_MAP,12,12.107,END,0.000
0_153_0,MRSG_MAP,13,12.109,START,
0_153_0,MRSG_MAP,13,12.112,END,0.000
0_154_0,MRSG_MAP,14,12.114,START,
0_154_0,MRSG_MAP,14,12.117,END,0.000
0_143_0,MRSG_MAP,15,12.120,START,
0_143_0,MRSG_MAP,15,12.122,END,0.000
0_144_0,MRSG_MAP,16,12.125,START,
0_144_0,MRSG_MAP,16,12.127,END,0.000
0_157_0,MRSG_MAP,17,12.129,START,
0_157_0,MRSG_MAP,17,12.131,END,0.000
0_158_0,MRSG_MAP,18,12.134,START,
0_158_0,MRSG_MAP,18,12.137,END,0.000
0_147_0,MRSG_MAP,19,12.141,START,
0_147_0,MRSG_MAP,19,12.143,END,0.000
0_148_0,MRSG_MAP,20,12.144,START,
0_148_0,MRSG_MAP,20,12.147,END,0.000
0_161_0,MRSG_MAP,21,12.150,START,
0_161_0,MRSG_MAP,21,12.152,END,0.000
0_151_0,MRSG_MAP,23,12.154,START,
0_151_0,MRSG_MAP,23,12.156,END,0.000
0_164_0,MRSG_MAP,24,12.157,START,
0_164_0,MRSG_MAP,24,12.160,END,0.000
0_165_0,MRSG_MAP,25,12.163,START,
0_165_0,MRSG_MAP,25,12.165,END,0.000
0_160_0,MRSG_MAP,0,15.008,START,
0_160_0,MRSG_MAP,0,15.010,END,0.000
0_171_0,MRSG_MAP,11,15.013,START,
0_171_0,MRSG_MAP,11,15.016,END,0.000
0_162_0,MRSG_MAP,22,15.018,START,
0_162_0,MRSG_MAP,22,15.021,END,0.000
0_166_0,MRSG_MAP,26,15.023,START,
0_166_0,MRSG_MAP,26,15.026,END,0.000
0_155_0,MRSG_MAP,27,15.029,START,
0_155_0,MRSG_MAP,27,15.031,END,0.000
0_156_0,MRSG_MAP,28,15.033,START,
0_156_0,MRSG_MAP,28,15.035,END,0.000
0_169_0,MRSG_MAP,29,15.039,START,
0_169_0,MRSG_MAP,29,15.042,END,0.000
0_170_0,MRSG_MAP,30,15.043,START,
0_170_0,MRSG_MAP,30,15.046,END,0.000
0_159_0,MRSG_MAP,31,15.049,START,
0_159_0,MRSG_MAP,31,15.052,END,0.000
0_173_0,MRSG_MAP,1,15.053,START,
0_173_0,MRSG_MAP,1,15.056,END,0.000
0_174_0,MRSG_MAP,2,15.059,START,
0_174_0,MRSG_MAP,2,15.061,END,0.000
0_163_0,MRSG_MAP,3,15.064,START,
0_163_0,MRSG_MAP,3,15.066,END,0.000
0_176_0,MRSG_MAP,4,15.069,START,
0_176_0,MRSG_MAP,4,15.072,END,0.000
0_177_0,MRSG_MAP,5,15.074,START,
0_177_0,MRSG_MAP,5,15.077,END,0.000
0_178_0,MRSG_MAP,6,15.079,START,
0_178_0,MRSG_MAP,6,15.082,END,0.000
0_167_0,MRSG_MAP,7,15.085,START,
0_167_0,MRSG_MAP,7,15.087,END,0.000
0_168_0,MRSG_MAP,8,15.090,START,
0_168_0,MRSG_MAP,8,15.092,END,0.000
0_181_0,MRSG_MAP,9,15.095,START,
0_181_0,MRSG_MAP,9,15.098,END,0.000
0_182_0,MRSG_MAP,10,15.100,START,
0_182_0,MRSG_MAP,10,15.103,END,0.000
0_172_0,MRSG_MAP,12,15.105,START,
0_172_0,MRSG_MAP,12,15.108,END,0.000
0_185_0,MRSG_MAP,13,15.111,START,
0_185_0,MRSG_MAP,13,15.113,END,0.000
0_186_0,MRSG_MAP,14,15.116,START,
